,Date,Open,High,Low,Close,Volume,Dividend
1344,2014-01-02,176.95,178.38,176.36,176.89,1982100.0,0.0
1343,2014-01-03,176.35,178.85,176.22,178.15,2147400.0,0.0
1342,2014-01-06,179.15,181.13,178.88,179.37,2954000.0,0.0
1341,2014-01-07,180.73,180.98,177.52,178.29,2734700.0,0.0
1340,2014-01-08,178.5,178.9,177.26,178.44,2208600.0,0.0
1339,2014-01-09,179.08,179.08,176.61,177.4,2149500.0,0.0
1338,2014-01-10,177.4,178.71,177.0,178.39,2506500.0,0.0
1337,2014-01-13,178.3,178.3,175.69,175.88,2823800.0,0.0
1336,2014-01-14,176.26,177.5,175.71,176.6,2208800.0,0.0
1335,2014-01-15,177.0,179.74,177.0,178.75,3540200.0,0.0
1334,2014-01-16,178.75,178.79,174.5,175.17,4712200.0,0.0
1333,2014-01-17,175.01,177.28,174.5,176.28,3451000.0,0.0
1332,2014-01-21,175.1,175.59,171.34,173.2,5141200.0,0.0
1331,2014-01-22,173.45,174.64,172.78,173.68,2476900.0,0.0
1330,2014-01-23,172.42,172.42,169.02,170.75,3977700.0,0.0
1329,2014-01-24,168.53,169.96,167.22,167.64,4156200.0,0.0
1328,2014-01-27,167.08,167.6,163.43,164.69,5589600.0,0.0
1327,2014-01-28,165.03,166.55,164.59,166.25,3170400.0,0.0
1326,2014-01-29,163.97,166.1,163.62,163.9,3473700.0,0.0
1325,2014-01-30,165.33,166.17,164.57,165.84,2829400.0,0.0
1324,2014-01-31,163.8,165.979,163.3,164.12,3415500.0,0.0
1323,2014-02-03,165.15,165.52,159.77,159.82,5079700.0,0.0
1322,2014-02-04,160.9,162.575,159.85,161.76,3346600.0,0.0
1321,2014-02-05,160.59,162.65,160.32,160.42,3212900.0,0.0
1320,2014-02-06,161.16,162.0,160.1001,161.75,3798000.0,0.0
1319,2014-02-07,162.78,162.9,160.27,161.93,4879900.0,0.0
1318,2014-02-10,161.02,161.77,160.28,161.0,4321700.0,0.0
1317,2014-02-11,161.21,164.958,160.31,164.39,4996300.0,0.0
1316,2014-02-12,164.5,165.23,163.23,163.5,3046600.0,0.0
1315,2014-02-13,162.55,164.4,162.1,164.06,3119600.0,0.0
1314,2014-02-14,163.33,164.5,162.93,163.72,3287900.0,0.0
1313,2014-02-18,164.04,165.59,163.72,164.65,3399900.0,0.0
1312,2014-02-19,163.91,166.18,162.98,163.26,3669700.0,0.0
1311,2014-02-20,163.49,164.97,162.6718,164.5,2631900.0,0.0
1310,2014-02-21,164.3,165.649,164.15,164.5,2594500.0,0.0
1309,2014-02-24,164.08,167.41,164.08,166.54,3242900.0,0.0
1308,2014-02-25,166.11,166.3,163.16,163.48,3682300.0,0.0
1307,2014-02-26,163.26,163.895,160.77,162.8,3978300.0,0.55
1306,2014-02-27,162.66,165.79,162.34,165.38,3806600.0,0.0
1305,2014-02-28,164.81,167.82,164.57,166.45,4291500.0,0.0
1304,2014-03-03,164.22,165.31,163.66,164.74,3122900.0,0.0
1303,2014-03-04,166.64,168.76,166.2,168.73,3400500.0,0.0
1302,2014-03-05,168.8,172.9,168.2501,171.9,4451200.0,0.0
1301,2014-03-06,172.71,174.0,172.49,172.6,3403500.0,0.0
1300,2014-03-07,173.98,175.59,173.11,174.26,4088900.0,0.0
1299,2014-03-10,173.6,174.4893,172.47,173.51,2179100.0,0.0
1298,2014-03-11,173.96,173.96,169.85,169.89,3832300.0,0.0
1297,2014-03-12,169.13,169.99,167.81,169.72,2550000.0,0.0
1296,2014-03-13,170.48,171.239,166.57,166.7,3421400.0,0.0
1295,2014-03-14,166.9,167.395,165.03,165.35,2762100.0,0.0
1294,2014-03-17,166.38,168.8,166.33,166.84,3198000.0,0.0
1293,2014-03-18,167.27,169.0,167.01,168.09,1941300.0,0.0
1292,2014-03-19,168.49,170.16,166.8,168.18,3534100.0,0.0
1291,2014-03-20,167.88,170.45,167.27,169.22,3950500.0,0.0
1290,2014-03-21,169.69,170.0,166.91,166.95,4779100.0,0.0
1289,2014-03-24,167.13,167.98,165.1,165.72,2723000.0,0.0
1288,2014-03-25,166.59,167.42,162.8,163.25,4437500.0,0.0
1287,2014-03-26,164.74,165.0,161.72,161.73,2590300.0,0.0
1286,2014-03-27,161.8,163.31,160.77,162.29,3890200.0,0.0
1285,2014-03-28,162.21,164.19,161.29,162.3,2630500.0,0.0
1284,2014-03-31,163.22,164.14,162.22,163.85,2494300.0,0.0
1283,2014-04-01,164.76,166.29,164.22,165.92,3325500.0,0.0
1282,2014-04-02,165.9,167.54,165.725,167.27,2407600.0,0.0
1281,2014-04-03,167.31,167.67,165.0,166.09,2337300.0,0.0
1280,2014-04-04,167.01,167.04,162.85,163.24,3262500.0,0.0
1279,2014-04-07,162.95,163.2,158.435,158.56,4650800.0,0.0
1278,2014-04-08,158.7,158.76,155.48,156.56,6839900.0,0.0
1277,2014-04-09,157.11,159.0,156.42,158.16,4010000.0,0.0
1276,2014-04-10,158.41,158.88,155.81,155.98,4806600.0,0.0
1275,2014-04-11,154.45,154.49,151.65,152.72,6460700.0,0.0
1274,2014-04-14,154.8,155.1275,153.42,154.74,3053700.0,0.0
1273,2014-04-15,155.0,156.02,153.1001,154.92,3639600.0,0.0
1272,2014-04-16,156.34,157.29,155.12,157.22,3194200.0,0.0
1271,2014-04-17,161.03,161.44,157.35,157.44,4525200.0,0.0
1270,2014-04-21,157.5,158.27,156.23,157.8,4551700.0,0.0
1269,2014-04-22,157.64,160.81,157.27,160.46,4547300.0,0.0
1268,2014-04-23,160.26,160.94,159.28,160.45,2040600.0,0.0
1267,2014-04-24,161.04,162.11,160.59,160.85,2934200.0,0.0
