,Date,Open,High,Low,Close,Volume,Dividend
1344,2014-01-02,221.54,222.03,219.5,221.01,2663500.0,0.0
1343,2014-01-03,221.75,222.49,220.23,221.16,1952400.0,0.0
1342,2014-01-06,221.18,222.31,219.59,219.83,2144400.0,0.0
1341,2014-01-07,220.75,222.11,220.46,221.51,2044500.0,0.0
1340,2014-01-08,221.42,223.0,220.64,222.22,2121800.0,0.0
1339,2014-01-09,223.55,224.52,221.66,221.91,2096600.0,0.0
1338,2014-01-10,221.84,222.7399,220.01,221.13,1607400.0,0.0
1337,2014-01-13,222.02,224.185,218.61,218.9,3388600.0,0.0
1336,2014-01-14,218.74,222.65,218.33,222.65,2712900.0,0.0
1335,2014-01-15,222.85,224.9,221.83,223.76,2822000.0,0.0
1334,2014-01-16,223.19,223.76,221.29,221.77,3378500.0,0.0
1333,2014-01-17,222.05,232.26,222.04,232.18,9586100.0,0.0
1332,2014-01-21,234.39,235.5,230.82,231.93,4938100.0,0.0
1331,2014-01-22,232.4,233.82,231.68,232.99,1813600.0,0.0
1330,2014-01-23,231.66,232.33,227.66,228.25,3415600.0,0.0
1329,2014-01-24,226.4,226.96,221.25,221.25,4010800.0,0.0
1328,2014-01-27,222.07,222.07,215.12,216.22,4867700.0,0.0
1327,2014-01-28,217.62,222.36,217.4,220.96,4463100.0,0.0
1326,2014-01-29,219.1,220.7425,216.5,217.12,4200000.0,0.0
1325,2014-01-30,225.75,226.0,216.31,220.88,5010100.0,0.0
1324,2014-01-31,216.13,218.9,215.109,215.43,6114300.0,0.0
1323,2014-02-03,216.51,217.835,212.07,213.47,5415600.0,0.0
1322,2014-02-04,214.16,215.88,211.38,214.54,3728400.0,0.0
1321,2014-02-05,213.24,216.74,213.12099999999998,215.61,3380200.0,0.0
1320,2014-02-06,216.08,219.01,215.78,219.01,3180400.0,0.0
1319,2014-02-07,220.19,222.0,218.46,221.78,3134300.0,0.0
1318,2014-02-10,221.89,222.13,219.99,220.55,2579200.0,0.0
1317,2014-02-11,221.13,222.89,220.05,222.33,2452400.0,0.0
1316,2014-02-12,223.44,224.9,222.89,224.17,3662700.0,0.4
1315,2014-02-13,222.85,224.75,222.4601,224.05,3289700.0,0.0
1314,2014-02-14,224.27,226.24,223.51,226.0,3170500.0,0.0
1313,2014-02-18,226.48,228.48,225.62,226.06,3356800.0,0.0
1312,2014-02-19,225.87,227.79,223.68,223.88,2330500.0,0.0
1311,2014-02-20,224.16,224.97,222.59,223.46,2202500.0,0.0
1310,2014-02-21,223.73,224.67,222.98,223.36,2284000.0,0.0
1309,2014-02-24,223.73,227.43,223.465,226.19,2704300.0,0.0
1308,2014-02-25,226.19,228.43,225.49099999999999,227.11,2834900.0,0.0
1307,2014-02-26,227.23,227.9,225.26,226.11,2603400.0,0.0
1306,2014-02-27,226.19,227.8,225.6,226.28,2024400.0,0.0
1305,2014-02-28,226.47,227.99,220.7,225.94,3501000.0,0.0
1304,2014-03-03,223.24,224.04,219.59,221.44,4105700.0,0.0
1303,2014-03-04,225.15,225.97,222.58,225.5,3721200.0,0.0
1302,2014-03-05,225.62,225.8,222.3,222.81,2832100.0,0.0
1301,2014-03-06,223.76,226.07,223.32,223.86,2280100.0,0.0
1300,2014-03-07,224.95,225.73,223.54,225.56,2242800.0,0.0
1299,2014-03-10,225.51,226.37,224.72,225.5,1837600.0,0.0
1298,2014-03-11,225.95,228.39,224.63,227.18,2765700.0,0.0
1297,2014-03-12,226.12,227.6799,225.29,226.1,2348700.0,0.0
1296,2014-03-13,226.66,227.49,220.43,220.78,2999100.0,0.0
1295,2014-03-14,220.62,221.921,218.56,220.77,3423000.0,0.0
1294,2014-03-17,221.99,223.88,221.38,223.78,2200000.0,0.0
1293,2014-03-18,224.6,226.77,223.25,226.41,2076200.0,0.0
1292,2014-03-19,226.61,227.09,222.0,223.82,1972200.0,0.0
1291,2014-03-20,224.12,224.12,220.91,221.82,2972500.0,0.0
1290,2014-03-21,222.97,232.67,219.7,223.37,9523100.0,0.0
1289,2014-03-24,225.39,226.23,219.1,220.75,4557100.0,0.0
1288,2014-03-25,222.19,223.04,218.4,218.4,2918800.0,0.0
1287,2014-03-26,219.95,220.19,215.68,215.68,2664300.0,0.0
1286,2014-03-27,214.89,216.17,213.05,215.77,2622400.0,0.0
1285,2014-03-28,214.48,216.34,210.52,212.09,3737500.0,0.0
1284,2014-03-31,212.79,215.86,211.671,215.86,2909800.0,0.0
1283,2014-04-01,217.08,218.1586,214.55,214.7,2272600.0,0.0
1282,2014-04-02,214.78,216.5,213.37,214.66,2336200.0,0.0
1281,2014-04-03,215.79,216.28,213.38,215.01,3552600.0,0.0
1280,2014-04-04,215.57,215.71,205.75,207.7,6112300.0,0.0
1279,2014-04-07,206.78,207.44,201.021,203.41,10031000.0,0.0
1278,2014-04-08,202.82,205.92,202.0,202.59,5436400.0,0.0
1277,2014-04-09,204.58,207.78,202.62,207.54,4785700.0,0.0
1276,2014-04-10,208.26,209.07,200.15,201.55,5100900.0,0.0
1275,2014-04-11,199.23,200.0,194.84,196.63,7484900.0,0.0
1274,2014-04-14,199.8,201.95,198.01,201.01,5231400.0,0.0
1273,2014-04-15,203.84,204.94,199.17,204.05,4803500.0,0.0
1272,2014-04-16,207.0,209.56,205.48,209.36,3958200.0,0.0
1271,2014-04-17,210.34,211.54,207.95,207.95,3341000.0,0.0
1270,2014-04-21,208.98,209.5,208.39,209.13,2503100.0,0.0
1269,2014-04-22,209.34,210.58,208.53,209.97,2460000.0,0.0
1268,2014-04-23,210.3,210.3,208.0,208.82,2204900.0,0.0
1267,2014-04-24,209.8,210.5,207.59,209.4,3386800.0,0.0
1266,2014-04-25,200.0,203.8,198.56,198.93,9559800.0,0.0
1265,2014-04-28,199.5,201.93,199.01,201.42,6065800.0,0.0
1264,2014-04-29,201.89,204.05,201.79,202.67,3190000.0,0.0
1263,2014-04-30,202.26,203.64,201.9,202.61,3036400.0,0.0
1262,2014-05-01,204.1,207.31,203.36,206.09,3568300.0,0.0
1261,2014-05-02,205.74,207.1,204.0,204.42,2727200.0,0.0
1260,2014-05-05,203.75,207.88,203.0,207.13,3448200.0,0.0
1259,2014-05-06,206.7,207.02,205.2,205.36,2718300.0,0.0
1258,2014-05-07,207.01,209.0,204.435,208.7,3683000.0,0.0
1257,2014-05-08,208.93,212.1,208.61,210.9,3653400.0,0.0
1256,2014-05-09,210.18,210.87,208.15,210.81,2948900.0,0.0
1255,2014-05-12,211.08,212.48,211.03,211.7,2183200.0,0.0
1254,2014-05-13,211.99,212.69,211.4,212.06,1784400.0,0.0
1253,2014-05-14,211.2,211.88,209.86,209.86,1709500.0,0.4
1252,2014-05-15,209.0,209.69,206.42,207.45,3171300.0,0.0
1251,2014-05-16,207.59,210.09,207.59,209.81,3069900.0,0.0
1250,2014-05-19,209.38,210.98,208.85,210.36,1759900.0,0.0
1249,2014-05-20,210.32,210.32,207.4,207.92,2185000.0,0.0
1248,2014-05-21,208.85,210.669,208.59,210.1,2274100.0,0.0
1247,2014-05-22,210.13,210.28,208.695,209.37,4217500.0,0.0
1246,2014-05-23,209.99,212.27,209.705,212.07,2779400.0,0.0
1245,2014-05-27,212.99,214.52,212.82,214.5,2419200.0,0.0
1244,2014-05-28,214.5,214.5,213.005,213.8,1805800.0,0.0
1243,2014-05-29,214.0,214.69,213.5,214.67,1315100.0,0.0
1242,2014-05-30,215.88,215.95,213.33,214.83,1534100.0,0.0
1241,2014-06-02,215.37,215.69,212.84,213.52,1591000.0,0.0
1240,2014-06-03,213.03,213.232,210.8,211.32,2252900.0,0.0
1239,2014-06-04,211.16,211.43,209.45,211.43,3147400.0,0.0
1238,2014-06-05,212.12,212.5,210.62,212.22,1649400.0,0.0
1237,2014-06-06,212.53,213.4,211.61,213.0,2500600.0,0.0
1236,2014-06-09,213.49,213.99,211.63,212.58,1379100.0,0.0
1235,2014-06-10,213.0,214.78,212.75,214.25,1708900.0,0.0
1234,2014-06-11,212.99,213.91,212.12,212.68,1689500.0,0.0
1233,2014-06-12,212.39,213.17,211.23,211.77,1554500.0,0.0
1232,2014-06-13,211.87,212.07,210.85,211.29,1771300.0,0.0
1231,2014-06-16,210.88,210.99,209.97,210.24,1974800.0,0.0
1230,2014-06-17,210.14,211.92,209.9,210.81,1430600.0,0.0
1229,2014-06-18,210.45,211.25,209.03,211.25,2581500.0,0.0
1228,2014-06-19,211.47,212.16,208.02,210.32,3832800.0,0.0
1227,2014-06-20,211.52,212.12,209.1,209.49,4589700.0,0.0
1226,2014-06-23,209.0,209.81,208.18,209.47,3691300.0,0.0
1225,2014-06-24,209.27,210.59,207.38,207.79,3272400.0,0.0
1224,2014-06-25,207.31,210.49,207.31,209.06,2061200.0,0.0
1223,2014-06-26,209.83,209.86,207.56,208.96,2145100.0,0.0
