,Date,Open,High,Low,Close,Volume,Dividend
0,2016-10-03,160.5,161.72,160.25,161.07,2444718.0,0.0
1,2016-10-04,161.24,164.15,161.23,162.27,2469912.0,0.0
2,2016-10-05,163.32,166.57,163.005,166.4,2548215.0,0.0
3,2016-10-06,167.18,167.29,164.82,167.15,2858217.0,0.0
4,2016-10-07,167.5,169.98,166.24,169.83,3390232.0,0.0
5,2016-10-10,170.52,171.75,170.1,171.04,2532001.0,0.0
6,2016-10-11,169.84,170.87,167.91,169.04,2679937.0,0.0
7,2016-10-12,169.04,169.99,168.301,169.3,2404792.0,0.0
8,2016-10-13,167.6,167.63,165.51,167.42,2713705.0,0.0
9,2016-10-14,171.6,172.95,169.11,170.52,5282125.0,0.0
10,2016-10-17,170.5,171.27,168.45,169.0,3061380.0,0.0
11,2016-10-18,172.01,173.47,171.1,172.63,4482486.0,0.0
12,2016-10-19,173.37,175.68,173.18,174.51,3676036.0,0.0
13,2016-10-20,174.0,175.79,173.8,174.51,2471135.0,0.0
14,2016-10-21,172.84,174.9,172.51,174.67,2004351.0,0.0
15,2016-10-24,175.5,175.79,174.35,175.12,1943125.0,0.0
16,2016-10-25,175.04,175.96,174.641,175.55,2423299.0,0.0
17,2016-10-26,174.79,177.9,173.93,177.07,2533595.0,0.0
18,2016-10-27,178.19,178.85,176.57,177.75,3021949.0,0.0
19,2016-10-28,178.51,178.51,175.46,177.14,2042775.0,0.0
20,2016-10-31,177.68,178.5,177.23,178.24,1828018.0,0.0
21,2016-11-01,179.0,179.18,176.61,178.06,2900633.0,0.0
22,2016-11-02,177.07,177.5,176.07,176.58,2104595.0,0.0
23,2016-11-03,176.77,177.97,176.21,176.21,1972746.0,0.0
24,2016-11-04,176.33,177.34,174.73,175.92,1846443.0,0.0
25,2016-11-07,179.0,181.5,179.0,181.48,3338783.0,0.0
26,2016-11-08,180.11,182.68,178.46,181.92,2646006.0,0.0
27,2016-11-09,185.0,193.54,183.45,192.63,7823835.0,0.0
28,2016-11-10,194.53,204.67,194.0,200.87,11342524.0,0.0
29,2016-11-11,198.25,205.0,198.25,203.94,6290179.0,0.0
30,2016-11-14,204.15,211.77,204.15,209.18,8248097.0,0.0
31,2016-11-15,206.56,211.2,205.17,211.19,4893793.0,0.0
32,2016-11-16,207.35,208.08,204.83,206.26,5271402.0,0.0
33,2016-11-17,206.26,209.69,205.67,209.63,3570582.0,0.0
34,2016-11-18,209.87,212.07,209.72,210.35,4278161.0,0.0
35,2016-11-21,211.46,211.69,209.18,211.08,2860229.0,0.0
36,2016-11-22,211.36,211.95,209.89,211.11,2945634.0,0.0
37,2016-11-23,211.5,213.41,209.37,212.31,3734285.0,0.0
38,2016-11-25,211.36,212.754,211.001,211.38,1973959.0,0.0
39,2016-11-28,210.0,211.76,209.6,210.35,3297394.0,0.0
40,2016-11-29,210.35,212.92,209.92,211.75,2570247.0,0.65
41,2016-11-30,215.2,220.77,214.97,219.29,6505900.0,0.0
42,2016-12-01,220.93,227.16,220.35,226.63,7604642.0,0.0
43,2016-12-02,226.0,226.25,221.22,223.36,5295835.0,0.0
44,2016-12-05,225.52,229.2,225.24,228.55,4599300.0,0.0
45,2016-12-06,230.18,232.67,227.9,231.38,5259347.0,0.0
46,2016-12-07,230.4,236.09,230.4,235.56,6595232.0,0.0
47,2016-12-08,236.88,242.42,236.0,241.45,7335475.0,0.0
48,2016-12-09,240.61,242.0,238.88,241.85,5456047.0,0.0
49,2016-12-12,240.5,242.83,236.37,237.17,5020914.0,0.0
50,2016-12-13,239.0,240.18,235.505,238.55,4680464.0,0.0
51,2016-12-14,235.67,243.12,235.37,239.93,6171829.0,0.0
52,2016-12-15,242.49,245.57,241.62,243.0,4829694.0,0.0
53,2016-12-16,242.8,243.19,238.4,238.9,6874967.0,0.0
54,2016-12-19,238.34,239.74,236.26,239.07,3742800.0,0.0
55,2016-12-20,240.52,243.65,240.23,243.09,4487687.0,0.0
56,2016-12-21,242.24,242.4,240.08,241.44,3277294.0,0.0
57,2016-12-22,241.23,242.86,239.55,240.12,2637214.0,0.0
58,2016-12-23,239.54,241.9,238.91,240.97,2187413.0,0.0
59,2016-12-27,241.95,242.5899,240.4,241.56,1988884.0,0.0
60,2016-12-28,243.69,244.5,240.44,240.65,3052787.0,0.0
61,2016-12-29,240.75,241.07,236.64,238.18,2619021.0,0.0
62,2016-12-30,238.51,240.5,237.4,239.45,2355444.0,0.0
63,2017-10-02,237.2,241.0996,237.1,240.65,2501272.0,0.0
64,2017-10-03,241.07,242.71,239.69,241.62,2010765.0,0.0
65,2017-10-04,241.62,242.88,240.1203,240.31,1840210.0,0.0
66,2017-10-05,241.0,246.32,240.12,246.06,3521265.0,0.0
67,2017-10-06,246.3,247.075,244.61,246.02,2395630.0,0.0
68,2017-10-09,245.15,246.35,242.02,242.8,2165169.0,0.0
69,2017-10-10,242.8,243.73,241.7,242.6,2186230.0,0.0
70,2017-10-11,242.0,243.2,241.35,242.4,2175333.0,0.0
71,2017-10-12,242.33,243.42,238.75,239.8,2148150.0,0.0
72,2017-10-13,239.0,239.45,236.84,238.53,2490544.0,0.0
73,2017-10-16,238.6,242.76,238.35,242.41,2969192.0,0.0
74,2017-10-17,244.44,244.89,235.19,236.09,7085825.0,0.0
75,2017-10-18,236.87,242.65,236.87,242.03,4235853.0,0.0
76,2017-10-19,240.35,240.99,238.1,239.99,2710675.0,0.0
77,2017-10-20,242.95,245.25,240.67,244.73,3022769.0,0.0
78,2017-10-23,244.39,245.33,241.381,242.13,1963295.0,0.0
79,2017-10-24,243.6,246.25,243.0,244.84,2284938.0,0.0
80,2017-10-25,246.16,246.5,240.8,241.74,2568583.0,0.0
81,2017-10-26,242.61,244.0,241.53,241.72,1948670.0,0.0
82,2017-10-27,240.85,242.44,239.67,241.71,2111903.0,0.0
83,2017-10-30,240.1,242.59,239.53,240.89,1764451.0,0.0
84,2017-10-31,240.68,244.18,240.63,242.48,2658731.0,0.0
85,2017-11-01,243.89,247.4,242.91,244.26,2969572.0,0.0
