,Date,Open,High,Low,Close,Volume,Dividend
0,2016-10-03,66.35,66.92,66.26,66.51,14898676.0,0.0
1,2016-10-04,66.21,67.18,66.1,66.6,17226890.0,0.48
2,2016-10-05,66.89,68.07,66.8,67.69,16279971.0,0.0
3,2016-10-06,67.73,67.97,67.05,67.87,17483910.0,0.0
4,2016-10-07,67.79,68.18,67.4,68.11,18496219.0,0.0
5,2016-10-10,68.34,69.06,68.23,68.64,13027466.0,0.0
6,2016-10-11,68.5,68.82,67.93,68.31,15657104.0,0.0
7,2016-10-12,68.26,68.59,68.05,68.13,11899613.0,0.0
8,2016-10-13,67.46,67.87,66.82,67.74,17890046.0,0.0
9,2016-10-14,68.8,69.03,67.3,67.52,24162871.0,0.0
10,2016-10-17,67.42,67.79,66.735,67.17,14963411.0,0.0
11,2016-10-18,67.85,68.21,67.54,67.7,11870286.0,0.0
12,2016-10-19,67.81,68.5,67.81,68.35,12705774.0,0.0
13,2016-10-20,68.08,68.68,67.94,68.26,14122005.0,0.0
14,2016-10-21,67.81,68.53,67.7,68.49,12172607.0,0.0
15,2016-10-24,68.97,69.05,68.495,68.87,10197123.0,0.0
16,2016-10-25,68.88,68.93,68.38,68.8,9945050.0,0.0
17,2016-10-26,68.37,69.25,68.37,69.13,9792422.0,0.0
18,2016-10-27,69.49,69.77,69.1,69.23,14210699.0,0.0
19,2016-10-28,69.53,69.55,68.465,69.11,12766498.0,0.0
20,2016-10-31,69.43,69.58,69.23,69.26,14336194.0,0.0
21,2016-11-01,69.48,69.78,68.33,68.97,15564491.0,0.0
22,2016-11-02,68.65,68.85,68.01,68.68,12449748.0,0.0
23,2016-11-03,68.86,69.19,68.22,68.38,10369521.0,0.0
24,2016-11-04,68.49,68.56,67.64,67.76,13571306.0,0.0
25,2016-11-07,69.08,69.97,69.0,69.88,16515137.0,0.0
26,2016-11-08,69.7,70.545,69.24,70.03,17529098.0,0.0
27,2016-11-09,71.46,74.15,71.32,73.25,50948378.0,0.0
28,2016-11-10,74.22,77.25,74.22,76.65,56189465.0,0.0
29,2016-11-11,76.3,76.725,75.77,76.69,27574323.0,0.0
30,2016-11-14,77.25,80.44,77.25,79.51,46130653.0,0.0
31,2016-11-15,78.37,79.41,77.78,79.36,28126307.0,0.0
32,2016-11-16,78.22,78.35,76.88,77.4,26037707.0,0.0
33,2016-11-17,78.13,78.455,77.6,78.02,19305607.0,0.0
34,2016-11-18,77.96,78.42,77.55,77.71,19769965.0,0.0
35,2016-11-21,78.0,78.17,77.29,78.05,11983529.0,0.0
36,2016-11-22,78.34,78.555,77.76,78.53,14409108.0,0.0
37,2016-11-23,78.87,79.24,77.89,78.86,13401187.0,0.0
38,2016-11-25,79.1,79.45,78.47,78.83,6185719.0,0.0
39,2016-11-28,78.18,78.87,78.02,78.32,13007242.0,0.0
40,2016-11-29,78.39,79.16,78.39,78.92,14143902.0,0.0
41,2016-11-30,79.92,80.53,79.7,80.17,25351594.0,0.0
42,2016-12-01,80.65,82.279,80.65,81.79,23820802.0,0.0
43,2016-12-02,81.8,81.83,80.9,81.6,16931484.0,0.0
44,2016-12-05,82.3,83.29,82.29,83.26,18529840.0,0.0
45,2016-12-06,83.6,83.81,82.43,83.69,16130043.0,0.0
46,2016-12-07,83.55,84.09,82.85,84.07,18996905.0,0.0
47,2016-12-08,84.23,85.5,83.94,85.12,20837878.0,0.0
48,2016-12-09,85.02,85.5,84.14,85.49,14567202.0,0.0
49,2016-12-12,85.36,85.79,84.29,84.73,14509120.0,0.0
50,2016-12-13,84.98,85.67,83.82,84.76,16669046.0,0.0
51,2016-12-14,83.88,86.12,83.76,84.73,22620566.0,0.0
52,2016-12-15,85.4,86.49,84.9,86.0,19438924.0,0.0
53,2016-12-16,86.29,86.29,84.89,84.94,22975690.0,0.0
54,2016-12-19,84.8,85.44,84.19,85.43,21684743.0,0.0
55,2016-12-20,85.79,86.54,85.545,86.53,14587310.0,0.0
56,2016-12-21,86.43,86.81,86.03,86.75,11393050.0,0.0
57,2016-12-22,86.44,87.17,86.21,86.89,13923096.0,0.0
58,2016-12-23,87.0,87.15,86.4,87.05,10757783.0,0.0
59,2016-12-27,87.05,87.16,86.75,87.13,6945935.0,0.0
60,2016-12-28,87.16,87.39,86.35,86.5,9454499.0,0.0
61,2016-12-29,86.58,86.67,85.04,85.89,14689042.0,0.0
62,2016-12-30,86.1,86.42,85.66,86.29,13616146.0,0.0
63,2017-10-02,95.77,96.88,95.46,96.84,13797213.0,0.0
64,2017-10-03,96.83,97.43,96.7739,97.35,9629432.0,0.0
