,Date,Open,High,Low,Close,Volume,Dividend
0,2016-10-03,82.42,83.1066,82.3,82.86,8155405.0,0.0
1,2016-10-04,83.28,83.53,82.58,82.73,5771983.0,0.0
2,2016-10-05,82.96,83.45,82.9,83.35,6163375.0,0.0
3,2016-10-06,83.12,83.478,82.88,83.36,7687143.0,0.0
4,2016-10-07,83.49,83.7,82.64,82.88,8219576.0,0.0
5,2016-10-10,83.13,83.54,82.94,83.12,7371537.0,0.0
6,2016-10-11,82.68,82.79,81.57,82.04,6226956.0,0.0
7,2016-10-12,81.84,82.54,81.82,82.25,3923636.0,0.0
8,2016-10-13,81.65,82.13,81.11,81.87,6810946.0,0.0
9,2016-10-14,82.04,83.19,82.04,82.45,6698083.0,0.0
10,2016-10-17,82.58,82.69,82.04,82.15,8473733.0,0.0
11,2016-10-18,81.5,82.37,81.35,81.58,11680407.0,0.0
12,2016-10-19,81.65,82.87,81.65,82.81,8440945.0,0.0
13,2016-10-20,83.05,83.1,82.17,82.5,6945209.0,0.0
14,2016-10-21,82.02,82.54,81.58,82.35,8037201.0,0.0
15,2016-10-24,83.27,83.59,82.71,83.17,16223733.0,0.0
16,2016-10-25,82.15,82.99,81.7,82.03,15084470.0,0.0
17,2016-10-26,81.62,82.26,81.41,81.75,8739414.0,0.0
18,2016-10-27,81.96,82.27,81.61,81.92,7039234.0,0.0
19,2016-10-28,82.52,83.36,82.11,82.22,10919161.0,0.0
20,2016-10-31,82.44,82.9,82.355,82.51,10023597.0,0.0
21,2016-11-01,82.64,82.6908,81.33,81.62,10881514.0,0.0
22,2016-11-02,80.89,81.38,80.52,80.58,9170869.0,0.0
23,2016-11-03,80.75,81.13,80.54,80.65,7549178.0,0.0
24,2016-11-04,80.65,81.24,80.325,80.36,7587668.0,0.0
25,2016-11-07,81.64,82.53,81.45,82.51,7277898.0,0.0
26,2016-11-08,82.39,83.16,82.15,82.88,7150910.0,0.0
27,2016-11-09,81.81,83.3,81.22,83.24,12158464.0,0.0
28,2016-11-10,83.3,83.96,81.415,81.87,17171556.0,0.0
29,2016-11-11,81.59,82.63,81.52,81.88,7367994.0,0.0
30,2016-11-14,82.02,82.22,77.3,78.38,21773523.0,0.0
31,2016-11-15,78.23,79.54,77.795,78.57,18523447.0,0.0
32,2016-11-16,78.79,80.19,78.76,80.08,9950304.0,0.165
33,2016-11-17,80.32,81.2,80.18,81.07,8081017.0,0.0
34,2016-11-18,80.95,81.5,80.53,80.82,7920808.0,0.0
35,2016-11-21,81.23,81.78,80.9,81.69,8942057.0,0.0
36,2016-11-22,81.69,81.69,79.26,79.93,18132718.0,0.0
37,2016-11-23,79.98,79.99,78.95,79.57,12861911.0,0.0
38,2016-11-25,79.99,80.37,79.74,80.13,6495826.0,0.0
39,2016-11-28,79.66,80.01,79.05,79.08,11793084.0,0.0
40,2016-11-29,79.12,79.58,78.95,79.15,8575239.0,0.0
41,2016-11-30,79.45,79.45,77.28,77.32,15330179.0,0.0
42,2016-12-01,77.57,77.62,75.25,75.43,21051528.0,0.0
43,2016-12-02,75.4,76.25,75.17,75.72,13628721.0,0.0
44,2016-12-05,76.63,77.6,76.55,77.31,12119198.0,0.0
45,2016-12-06,77.94,77.97,76.71,77.11,13896640.0,0.0
46,2016-12-07,77.27,79.49,77.25,79.31,13919763.0,0.0
47,2016-12-08,79.68,79.87,78.97,79.28,13297756.0,0.0
48,2016-12-09,79.15,79.93,78.83,79.14,10728310.0,0.0
49,2016-12-12,78.99,79.03,77.915,78.5,11941452.0,0.0
50,2016-12-13,78.81,79.5,78.25,79.2,12995086.0,0.0
51,2016-12-14,79.28,79.98,79.12,79.13,20121140.0,0.0
52,2016-12-15,79.37,80.39,79.13,79.5,14070899.0,0.0
53,2016-12-16,79.22,79.46,78.17,78.35,19141477.0,0.0
54,2016-12-19,78.04,78.6,78.02,78.1,8697651.0,0.0
55,2016-12-20,78.41,78.58,77.69,78.36,6917426.0,0.0
56,2016-12-21,78.48,78.55,77.98,78.14,9343636.0,0.0
57,2016-12-22,78.02,78.06,77.19,77.9,12074044.0,0.0
58,2016-12-23,78.08,78.48,77.9,78.15,6192947.0,0.0
59,2016-12-27,78.27,78.848,78.23,78.35,3776005.0,0.0
60,2016-12-28,78.4,78.65,77.97,78.3,7586068.0,0.0
61,2016-12-29,78.49,78.84,78.3,78.33,6241083.0,0.0
62,2016-12-30,78.43,78.54,77.935,78.02,7127255.0,0.0
63,2017-10-02,105.54,105.99,105.1001,105.44,4885565.0,0.0
64,2017-10-03,105.65,105.9,105.29,105.59,4411058.0,0.0
65,2017-10-04,105.71,105.74,104.8977,105.31,4146782.0,0.0
