Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-05-07,114.03,114.03,112.285,113.21,15016763.0,0.0,1.0,114.03,114.03,112.285,113.21,15016763.0
2019-05-06,114.18,115.47,113.72,115.09,9387010.0,0.0,1.0,114.18,115.47,113.72,115.09,9387010.0
2019-05-03,116.0,116.68,115.67,116.12,8185209.0,0.0,1.0,116.0,116.68,115.67,116.12,8185209.0
2019-05-02,115.17,115.7753,114.58,115.41,8613305.0,0.0,1.0,115.17,115.7753,114.58,115.41,8613305.0
2019-05-01,115.72,117.0,115.11,115.16,10412881.0,0.0,1.0,115.72,117.0,115.11,115.16,10412881.0
2019-04-30,116.43,116.724,115.26,116.05,11389147.0,0.0,1.0,116.43,116.724,115.26,116.05,11389147.0
2019-04-29,114.6,117.155,114.445,116.12,14242237.0,0.0,1.0,114.6,117.155,114.445,116.12,14242237.0
2019-04-26,113.95,114.58,113.6,114.47,7889519.0,0.0,1.0,113.95,114.58,113.6,114.47,7889519.0
2019-04-25,113.01,114.145,112.5,113.61,9311768.0,0.0,1.0,113.01,114.145,112.5,113.61,9311768.0
2019-04-24,113.26,114.15,112.81,113.55,9245015.0,0.0,1.0,113.26,114.15,112.81,113.55,9245015.0
2019-04-23,113.0,114.37,112.85,113.74,9193126.0,0.0,1.0,113.0,114.37,112.85,113.74,9193126.0
2019-04-22,112.83,113.93,112.6622,113.6,7975860.0,0.0,1.0,112.83,113.93,112.6622,113.6,7975860.0
2019-04-18,114.53,114.945,113.33,113.46,12498529.0,0.0,1.0,114.53,114.945,113.33,113.46,12498529.0
2019-04-17,111.7,114.66,111.01,114.3,17788646.0,0.0,1.0,111.7,114.66,111.01,114.3,17788646.0
2019-04-16,109.9,111.39,109.86,111.1,11579198.0,0.0,1.0,109.9,111.39,109.86,111.1,11579198.0
2019-04-15,110.92,111.0,109.12,109.94,15162069.0,0.0,1.0,110.92,111.0,109.12,109.94,15162069.0
2019-04-12,109.44,111.85,108.88,111.21,25828755.0,0.0,1.0,109.44,111.85,108.88,111.21,25828755.0
2019-04-11,105.71,106.73,105.56,106.23,11164487.0,0.0,1.0,105.71,106.73,105.56,106.23,11164487.0
2019-04-10,105.13,105.715,104.47,105.34,10882304.0,0.0,1.0,105.13,105.715,104.47,105.34,10882304.0
2019-04-09,105.08,105.2,104.25,104.87,9090870.0,0.0,1.0,105.08,105.2,104.25,104.87,9090870.0
2019-04-08,105.11,105.65,104.91,105.65,8054760.0,0.0,1.0,105.11,105.65,104.91,105.65,8054760.0
2019-04-05,105.8,106.11,104.99,105.31,9931546.0,0.0,1.0,105.8,106.11,104.99,105.31,9931546.0
2019-04-04,104.55,105.73,104.45,105.56,11950067.0,0.8,1.0,104.55,105.73,104.45,105.56,11950067.0
2019-04-03,105.81,106.36,104.785,105.35,11496706.0,0.0,1.0,105.01413689356902,105.56,103.99684655885672,104.55759684091764,11496706.0
2019-04-02,104.6,105.44,104.33,105.14,10295389.0,0.0,1.0,103.81323805942084,104.64691989469726,103.54526889808199,104.34917638209853,10295389.0
2019-04-01,102.15,104.68,102.12,104.64,17499280.0,0.0,1.0,101.38166603986463,103.89263632944717,101.35189168860475,103.852937194434,17499280.0
2019-03-29,101.54,101.99,100.585,101.23,14522008.0,0.0,1.0,100.77625423091389,101.22286949981196,99.82843738247462,100.46858593456187,14522008.0
2019-03-28,100.0,100.8,99.74,100.71,12450588.0,0.0,1.0,99.24783753290711,100.04182023317037,98.98979315532155,99.95249717939075,12450588.0
2019-03-27,99.88,100.4499,99.08,99.58,12752866.0,0.0,1.0,99.12874012786762,99.69435355396766,98.33475742760436,98.8309966152689,12752866.0
