Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-05-07,160.95,161.78,158.68,160.21,6413400.0,0.0,1.0,160.95,161.78,158.68,160.21,6413400.0
2019-05-06,158.21,162.65,158.2,162.28,10442357.0,0.0,1.0,158.21,162.65,158.2,162.28,10442357.0
2019-05-03,162.3,162.74,161.18,162.04,4317561.0,0.0,1.0,162.3,162.74,161.18,162.04,4317561.0
2019-05-02,162.1,163.08,160.43,161.12,6054926.0,0.0,1.0,162.1,163.08,160.43,161.12,6054926.0
2019-05-01,165.54,165.74,162.75,162.79,5248092.0,0.0,1.0,165.54,165.74,162.75,162.79,5248092.0
2019-04-30,164.98,165.7,163.92,164.43,6432714.0,0.0,1.0,164.98,165.7,163.92,164.43,6432714.0
2019-04-29,163.21,164.5,163.1,164.15,10003563.0,0.0,1.0,163.21,164.5,163.1,164.15,10003563.0
2019-04-26,161.26,163.03,160.4,162.93,7525392.0,0.0,1.0,161.26,163.03,160.4,162.93,7525392.0
2019-04-25,160.52,161.6,158.55,161.02,8862480.0,0.0,1.0,160.52,161.6,158.55,161.02,8862480.0
2019-04-24,161.75,162.03,160.65,161.49,7371323.0,0.0,1.0,161.75,162.03,160.65,161.49,7371323.0
2019-04-23,161.0,161.88,159.87,161.66,6520599.0,0.0,1.0,161.0,161.88,159.87,161.66,6520599.0
2019-04-22,159.2,160.48,159.0684,160.4,4602806.0,0.0,1.0,159.2,160.48,159.0684,160.4,4602806.0
2019-04-18,160.93,161.105,159.0007,160.16,7858070.0,0.0,1.0,160.93,161.105,159.0007,160.16,7858070.0
2019-04-17,160.87,161.07,160.31,160.44,4609424.0,0.0,1.0,160.87,161.07,160.31,160.44,4609424.0
2019-04-16,161.04,161.1,159.55,160.23,6021529.0,0.0,1.0,161.04,161.1,159.55,160.23,6021529.0
2019-04-15,159.83,160.48,159.19,160.44,8142991.0,0.0,1.0,159.83,160.48,159.19,160.44,8142991.0
2019-04-12,158.71,159.64,157.86,159.64,6744295.0,0.0,1.0,158.71,159.64,157.86,159.64,6744295.0
2019-04-11,159.11,159.3,157.44,157.86,5771621.0,0.0,1.0,159.11,159.3,157.44,157.86,5771621.0
2019-04-10,157.99,158.78,157.52,158.56,3918581.0,0.0,1.0,157.99,158.78,157.52,158.56,3918581.0
2019-04-09,156.56,157.99,156.47,157.49,6364108.0,0.0,1.0,156.56,157.99,156.47,157.49,6364108.0
2019-04-08,157.55,157.8501,156.32,157.75,5604762.0,0.0,1.0,157.55,157.8501,156.32,157.75,5604762.0
2019-04-05,158.0,158.63,157.23,157.65,4178369.0,0.0,1.0,158.0,158.63,157.23,157.65,4178369.0
2019-04-04,158.53,158.69,156.53,157.64,5100174.0,0.0,1.0,158.53,158.69,156.53,157.64,5100174.0
2019-04-03,158.55,159.11,157.85,158.46,8210438.0,0.0,1.0,158.55,159.11,157.85,158.46,8210438.0
2019-04-02,157.66,158.15,156.75,157.78,6215067.0,0.0,1.0,157.66,158.15,156.75,157.78,6215067.0
2019-04-01,157.53,157.73,156.55,157.26,6420179.0,0.0,1.0,157.53,157.73,156.55,157.26,6420179.0
2019-03-29,155.73,156.29,154.93,156.19,12164362.0,0.0,1.0,155.73,156.29,154.93,156.19,12164362.0
2019-03-28,154.93,155.08,153.61,154.67,16900851.0,0.0,1.0,154.93,155.08,153.61,154.67,16900851.0
2019-03-27,155.47,155.86,153.36,154.22,12253558.0,0.0,1.0,155.47,155.86,153.36,154.22,12253558.0
2019-03-26,153.77,155.6,153.77,155.3,15594221.0,0.0,1.0,153.77,155.6,153.77,155.3,15594221.0
2019-03-25,152.36,154.0617,151.54,153.03,7568011.0,0.0,1.0,152.36,154.0617,151.54,153.03,7568011.0
2019-03-22,154.99,155.68,152.85,153.07,8120025.0,0.0,1.0,154.99,155.68,152.85,153.07,8120025.0
2019-03-21,153.32,156.68,153.31,155.8,7027135.0,0.0,1.0,153.32,156.68,153.31,155.8,7027135.0
2019-03-20,154.34,154.87,152.7134,153.75,6389906.0,0.0,1.0,154.34,154.87,152.7134,153.75,6389906.0
2019-03-19,155.95,155.95,154.14,154.59,9236049.0,0.0,1.0,155.95,155.95,154.14,154.59,9236049.0
